,Unnamed: 0,hostname,status,pl_index,mass,mass_med,mass_minus,mass_plus,axis,axis_med,axis_minus,axis_plus,per,per_med,per_minus,per_plus,tc,tc_med,tc_minus,tc_plus,w,w_med,w_minus,w_plus,k,k_med,k_minus,k_plus,e,e_med,e_minus,e_plus,e_mode,e_68,insol,insol_med,insols_minus,insols_plus,teq,teq_med,teq_minus,teq_plus,post_path
103,194,4203,K,1.0,1.807258509,1.822012978,1.744258603,1.899544978,1.176735777,1.176618285,1.154370374,1.198113269,437.2172831,437.1814588,437.0262649,437.3170414,2440615.542,2440618.764,2440612.7630000003,2440624.786,-0.4884571617,-0.5040479111,-0.548985562,-0.4645945498,51.81680078,52.15300211,50.94497733,53.40389421,0.5148951871,0.5125814163,0.4988321107,0.5252082664,0.51,0.5187247652,1.454681333,1.456076645,1.3436898000000002,1.577666821,0.5889352452000001,0.588794105,1.3436898000000002,1.577666821,/data/user/lrosenth/legacy/final_run/4203/4203_pchains.csv
104,195,4203,K,2.0,2.501198519,2.684077663,2.44154295,3.67277561,6.97230277,7.7780701,6.999575442,13.15403736,6305.844273,7424.745694,6359.957042,16374.55521,2453839.627,2453775.322,2453282.652,2453903.032,-1.193311165,0.5519873975999999,-1.185885371,1.159237825,25.42200871,26.13049223,24.67828326,30.54838133,0.1142070326,0.1901637344,0.1008753396,0.4809389418,0.125,0.3533705701,0.04143556886,0.03276368256,0.01162689433,0.04154055684,1.433561027,1.5202371280000002,0.01162689433,0.04154055684,/data/user/lrosenth/legacy/final_run/4203/4203_pchains.csv
112,213,50499,K,1.0,1.304680658,1.346304155,1.259686352,1.4297739040000002,3.846660094,3.846433815,3.807365251,3.88563454,2461.595756,2461.706419,2445.814434,2476.979854,2455026.878,2455004.796,2454928.549,2455079.076,-1.670313256,1.360247947,-1.4870498019999998,1.509434762,18.17763029,18.61273066,17.60326747,19.60095314,0.3688939987,0.3479279496,0.3030421605,0.3943147814,0.345,0.3692506221,0.1590156885,0.1589008103,0.14572227599999998,0.17305750350000002,1.0242347790000002,1.024419848,0.14572227599999998,0.17305750350000002,/data/user/lrosenth/legacy/final_run/50499/50499_pchains.csv
113,214,50499,K,2.0,3.134572711,3.175214998,2.714043595,3.804324802,9.745467002,10.07149967,9.226095801,12.04833811,9926.473771,10419.76041,9155.077133,13640.61866,2452794.464,2452710.186,2452455.559,2452844.214,1.909844226,-0.9616029238,-1.315603089,-0.2930519216,26.28120249,26.13978289,22.8798724,29.99224119,0.2415749845,0.2412150064,0.1660442825,0.3303945323,0.24,0.2801586172,0.02477435106,0.02294570191,0.015937048540000002,0.02805405953,1.630267761,1.661820742,0.015937048540000002,0.02805405953,/data/user/lrosenth/legacy/final_run/50499/50499_pchains.csv
116,222,66428,K,1.0,3.179828887,3.191998852,3.083945182,3.299029853,3.450976555,3.454615783,3.404747669,3.503216802,2284.535766,2288.860809,2282.079506,2295.023024,2456565.329,2456561.96,2456548.995,2456574.691,-3.050226424,0.09571246486,0.05037901381,0.1496070602,52.42201623,52.48200208,51.37761945,53.55533003,0.4237427219,0.4180283608,0.403880476,0.4325915831,0.415,0.4250829528,0.1047560854,0.1045820989,0.09590911449,0.11388363,1.136880184,1.137352728,0.09590911449,0.11388363,/data/user/lrosenth/legacy/final_run/66428/66428_pchains.csv
117,223,66428,C,2.0,3.812772337,27.18326702,9.770447377,48.86530494,10.05995333,23.00612233,15.43094945,41.60534199,11370.48258,39488.90176,21580.42347,95482.84667,2452849.744,2445901.562,2441396.117,2450474.335,-1.253163882,0.5404329193999999,-0.8977889156000001,1.185686589,33.6387701,152.4110375,67.06213189,273.67324289999993,0.1315767802,0.324164038,0.16742093619999998,0.5566255133,0.375,0.4049891709,0.01232739598,0.002365469752,0.0007118294563,0.0052326054,1.941072137,2.932784568,0.0007118294563,0.0052326054,/data/user/lrosenth/legacy/final_run/66428/66428_pchains.csv
118,226,68988,K,1.0,1.913061374,1.914119629,1.860412144,1.967294396,0.07020102527000001,0.07019628091,0.06921126585,0.07116157853999999,6.276418456,6.276418734,6.276410898,6.276426934,2451549.717,2451549.717,2451549.711,2451549.722,0.7065207781999999,0.70527817,0.6870542179000001,0.7239812309999999,192.0678641,192.2000557,191.5731062,192.8140971,0.1578742152,0.1580855062,0.1549528329,0.16079099300000002,0.155,0.159339686,343.9643468000001,344.1994127,314.8906078,375.694943,0.1501865894,0.1501609409,314.8906078,375.694943,/data/user/lrosenth/legacy/final_run/68988/68988_pchains.csv
119,227,68988,C,2.0,15.04870161,14.96509755,13.43991405,17.79891706,13.42564964,13.15069943,11.16761959,18.42548302,16599.678340000002,16091.13366,12593.60553,26696.59489,2451607.957,2451659.424,2451479.475,2451774.277,3.041858431,-0.1304062514,-0.1729607841,-0.09358711075,121.3764301,121.4144098,114.1414197,134.647965,0.4582568726,0.4531382666,0.3723180707,0.5876063089,0.4,0.517328991,0.009404370266,0.009749949696,0.004989125485,0.01366507366,2.076954977,2.058301158,0.004989125485,0.01366507366,/data/user/lrosenth/legacy/final_run/68988/68988_pchains.csv
124,235,74156,K,1.0,7.648035693,7.648576085,7.379604086,7.913070596,3.726733342,3.726336045,3.66065903,3.789564961,2449.012954,2448.618591,2445.276976,2451.982217,2457110.614,2457109.674,2457100.793,2457118.72,-1.528529592,-1.526835788,-1.543513819,-1.509870494,112.9711091,112.97791979999998,112.2739602,113.6877555,0.3694279375,0.3690832669,0.3636247963000001,0.3745812171,0.365,0.3715678003,0.1849633118,0.1850602713,0.1703886006,0.2006402799,0.9862524928,0.9861232845,0.1703886006,0.2006402799,/data/user/lrosenth/legacy/final_run/74156/74156_pchains.csv
125,236,74156,K,2.0,1.744783341,1.745257363,1.683994837,1.806114523,0.28442646850000003,0.2844318894,0.2794154732,0.2892277191,51.63612191,51.63603157,51.63531031,51.63669197,2455231.4680000003,2455231.464,2455231.416,2455231.511,3.020972863,-0.120861901,-0.1311723598,-0.1105646226,114.6190741,114.5705478,113.6966404,115.4724378,0.654176436,0.6535584450999999,0.6497772526,0.6571690096,0.65,0.6552661756,31.75427582,31.76492248,29.24179141,34.43846027,0.27246389390000003,0.2724410606,29.24179141,34.43846027,/data/user/lrosenth/legacy/final_run/74156/74156_pchains.csv
126,237,75732,K,1.0,0.8414381459999999,0.841336952,0.8153572225,0.8673601906,0.1161853545,0.1161875994,0.1143932964,0.117953961,14.65171088,14.651709900000002,14.65165744,14.65176334,2455803.301,2455803.293,2455803.279,2455803.307,2.1527963530000003,-0.6158987428,-1.230829982,1.093433475,71.09464983,71.07794245,70.86777647,71.30816659,0.006495216461,0.004762926197,0.001681952532,0.008350758018,0.0,0.006537909378,49.4389506,49.4374589,45.6067293,53.59390187,0.2439170738,0.2439189137,45.6067293,53.59390187,/data/user/lrosenth/legacy/final_run/75732/75732_pchains.csv
127,238,75732,K,2.0,0.17136107039999998,0.1709856806,0.1644051926,0.17756689609999998,0.2432424095,0.2432441038,0.2394868011,0.2469420032,44.38336276,44.38269924,44.37890681,44.38650629,2455846.5930000003,2455846.827,2455846.349,2455847.256,0.6003453371,0.5275256415999999,-0.1160305713,0.9880742354,10.02663774,10.01212625,9.764280036,10.23452378,0.06365110051,0.048276909010000014,0.01941272868,0.07937430767999999,0.025,0.06324178489,11.2795929,11.27970088,10.40547869,12.22817112,0.35292803310000004,0.3529271885,10.40547869,12.22817112,/data/user/lrosenth/legacy/final_run/75732/75732_pchains.csv
135,250,82943,K,1.0,1.66580439,1.652215477,1.575604085,1.7373734930000002,0.7465410063,0.7465579094,0.7354931074,0.7572859237,219.92400240000003,219.928867,219.8697102,219.985235,2455135.123,2455135.168,2455134.631,2455135.731,1.887296282,-1.201313158,-1.261557375,-1.145036393,56.29703196,55.92978186,54.16938972,57.99973290000001,0.4169790505,0.4207281668,0.4054446531,0.4348563486,0.42,0.4271808436,2.838855843,2.838685102,2.609167081,3.0873138260000004,0.4982802541,0.4982877466,2.609167081,3.0873138260000004,/data/user/lrosenth/legacy/final_run/82943/82943_pchains.csv
136,251,82943,K,2.0,1.541386877,1.5386287230000002,1.486183656,1.591265256,1.188849884,1.188794617,1.171140462,1.205812062,441.9596883,441.9332115,441.4872165,442.3639602,2455110.559,2455114.608,2455106.887,2455121.594,1.524989463,-0.9977291621,-1.368874373,1.303363735,37.86313927,37.85390485,37.10393083,38.65493517,0.1343676768,0.1421755976,0.09603271174,0.1837249637,0.15,0.16195566279999998,1.119429211,1.119553172,1.029009242,1.217686895,0.628796844,0.6287794377,1.029009242,1.217686895,/data/user/lrosenth/legacy/final_run/82943/82943_pchains.csv
140,261,92788,K,1.0,3.522649717,3.519230271,3.4192075010000003,3.619552371,0.9492552761,0.9492054741,0.9362136856,0.9618990789,325.6996461,325.7047186000001,325.6651728,325.7422289,2450581.9590000003,2450581.1980000003,2450579.559,2450582.878,-1.403449353,-1.392748088,-1.4193303819999998,-1.366527526,106.03693429999998,105.9627887,105.0279588,106.9007229,0.35537367810000003,0.3552288007,0.34804984,0.3622277063,0.355,0.3584621729,1.4213061809999998,1.4216079519999998,1.305524021,1.545380313,0.5923625595,0.5923311212,1.305524021,1.545380313,/data/user/lrosenth/legacy/final_run/92788/92788_pchains.csv
141,262,92788,K,2.0,2.832309748,2.809626154,2.640134382,2.990445924,8.233454639,8.259456982,7.976395366,8.622905862,8319.857787,8356.238126999999,7968.990199,8891.245019,2450185.577,2450144.17,2449629.217,2450500.438,-0.6187293077,-0.6248953027,-0.7602834540000001,-0.4758988624,28.82309444,28.69307089,27.35754794,30.11615475,0.344469979,0.3546755611,0.3030893723,0.4115113369,0.35,0.3804510098,0.01889250256,0.01867941383,0.01659758112,0.02081130381,1.744564938,1.749519153,0.01659758112,0.02081130381,/data/user/lrosenth/legacy/final_run/92788/92788_pchains.csv
142,265,95128,K,1.0,2.405105831,2.438191063,2.353236967,2.523405755,2.058039704,2.059494711,2.027041115,2.09086254,1075.609435,1076.58579,1075.465809,1077.9116720000004,2454413.754,2454415.608,2454412.692,2454418.636,-0.6019981655,-0.599307664,-1.012349068,-0.09198781668,47.55289683,48.16186761,47.43620529,48.93093425,0.01866775286,0.016013116409999997,0.007995621464,0.02357339516,0.015,0.01965117296,0.3159173239,0.3152538823,0.2894507717,0.3435071034,0.8627126212999999,0.8631661512000001,0.2894507717,0.3435071034,/data/user/lrosenth/legacy/final_run/95128/95128_pchains.csv
143,266,95128,K,2.0,0.4931994094,0.497037604,0.4666502268,0.5290178434,3.398103815,3.403584763,3.347505802,3.45804864,2282.0699050000007,2286.532764,2270.071809,2305.295826,2455618.065,2455651.361,2455605.723,2455710.27,1.4056873280000002,0.5646468804,-1.367905491,1.383459197,7.831728927999999,7.7983042089999985,7.35903097,8.260369955,0.2477877904,0.17868410129999998,0.08625151810000001,0.2687533559,0.17,0.2234702692,0.1158797779,0.1154121188,0.1059397383,0.1258439533,1.108555902,1.109677189,0.1059397383,0.1258439533,/data/user/lrosenth/legacy/final_run/95128/95128_pchains.csv
150,279,9826,K,1.0,0.6749503847,0.6750525887000001,0.6594402452,0.6907677926000001,0.05913556578,0.05913705344,0.05850596996,0.059751801510000015,4.617122759,4.617121842,4.617110263,4.617133682,2454083.85,2454083.853,2454083.841,2454083.865,0.4609210283,0.014575471530000004,-1.102067402,1.090104239,69.36945959,69.39049334,68.75266928,70.04067309,0.003431121204,0.006855111038,0.002222333314,0.01403002414,0.0,0.01003659267,970.423046,970.1109268,885.564317,1060.665474,0.1158828684,0.1158921882,885.564317,1060.665474,/data/user/lrosenth/legacy/final_run/9826/9826_pchains.csv
151,280,9826,K,2.0,1.963254715,1.964861878,1.915682032,2.013652892,0.8264215481999999,0.8264720178,0.8176475916,0.8350646088,241.2130144,241.2230923,241.1819648,241.2683284,2455133.758,2455133.691,2455132.225,2455135.33,-2.122914905,1.015999836,0.9591791637,1.07029056,56.03709222,56.07235437,55.25722826,56.83969586,0.2687694113,0.2664313325,0.2540949344,0.2786418122,0.265,0.2724638573,4.968843854,4.966959554,4.5340182,5.430435367,0.4332072088,0.433248289,4.5340182,5.430435367,/data/user/lrosenth/legacy/final_run/9826/9826_pchains.csv
155,289,gl317,K,1.0,1.853827483,1.85260455,1.81563758,1.889562012,1.179880357,1.179972148,1.172383172,1.18751279,695.306869,695.3577541,694.6604877,696.0580614,2455305.907,2455306.122,2455301.605,2455310.752,-0.4777958492,-0.475768481,-0.7050576493999999,-0.2170429533,72.41709549,72.37592799,71.2605707,73.5212679,0.09696237413,0.09821242063,0.08224215078,0.1140020492,0.095,0.1056552692,0.01788589553,0.01787240604,0.01673771227,0.01906763338,1.7686090369999998,1.768942664,0.01673771227,0.01906763338,/data/user/lrosenth/legacy/final_run/gl317/gl317_pchains.csv
156,290,gl317,K,2.0,1.674611883,1.6731088669999998,1.597551517,1.751307662,5.57421791,5.779310364,5.403335915,6.526444221,7139.955039,7539.566384000002,6818.5307170000015,9035.742484,2456395.418,2456383.981,2456306.975,2456458.607,1.99066247,-1.153718593,-1.394984402,-0.7572288443999999,30.64216949,30.25034516,28.66117642,31.81109939,0.2106694574,0.2482288436,0.1742542769,0.353559618,0.23,0.2940850786,0.0008013435522,0.0007399553818999999,0.000577587557,0.0008615525715,3.84418983,3.921553361,0.000577587557,0.0008615525715,/data/user/lrosenth/legacy/final_run/gl317/gl317_pchains.csv
158,295,hip109388,K,1.0,0.8843583629999999,0.8907464676000001,0.8547494613,0.9263588195,2.410233398,2.409466009,2.392169825,2.427020959,1940.922211,1940.052568,1928.198726,1952.402781,2453862.526,2453873.132,2453849.5,2453893.656,0.5031168081,0.4065363028,-0.21798503,0.9651609954,23.04248548,23.20551593,22.31641818,24.09020142,0.06030392506,0.04993809171,0.020208785080000003,0.07913582532999999,0.045,0.06351584793,0.005460330867,0.005464860102,0.005211875843,0.005727962948,2.3793305030000003,2.378837357,0.005211875843,0.005727962948,/data/user/lrosenth/legacy/final_run/hip109388/hip109388_pchains.csv
159,296,hip109388,K,2.0,1.085623317,1.078622269,1.025573591,1.131216779,4.935984168,4.973535409,4.899385927,5.056045695,5688.26888,5753.018633,5636.191169,5886.434104,2458930.114,2458970.545,2458853.465,2459106.939,2.344578049,-0.6328188057,-1.057727774,-0.13917373019999998,19.83318852,19.64178563,18.68897818,20.57646917,0.1017706534,0.09908960001,0.0586828843,0.1401788538,0.105,0.117941431,0.001301936023,0.001281324988,0.00121144674,0.001352828248,3.4049606810000004,3.418571662,0.00121144674,0.001352828248,/data/user/lrosenth/legacy/final_run/hip109388/hip109388_pchains.csv
161,300,hip57050,K,1.0,0.2688651888,0.2598687708,0.2305081623,0.2895013105,0.9274383844,0.930177339,0.9213940261,0.9391532967,533.7416653,535.9232281000002,532.6544953,539.8770574,2454792.057,2454768.972,2454728.913,2454798.256,-2.911592669,0.278093019,-0.09746178615,0.6842604272,14.01665018,13.10549471,11.47215512,14.85719209,0.376158752,0.2667470065,0.1000381692,0.4049064643,0.315,0.3373444737,0.01781959428,0.017703141159999998,0.01643520887,0.01904146731,1.770251859,1.773155931,0.01643520887,0.01904146731,/data/user/lrosenth/legacy/final_run/hip57050/hip57050_pchains.csv
162,301,hip57050,K,2.0,0.34332014240000003,0.3392871071,0.3257198857,0.35294597060000005,0.16861889089999998,0.16861092809999995,0.1672218312,0.16998018280000002,41.37736681,41.37463201,41.36428092,41.38550337,2454796.937,2454796.918,2454796.066,2454797.81,-1.670083064,1.4298145530000002,-1.408302395,1.519753124,41.78792341,41.32719349,39.81793403,42.85981810000001,0.3657334183,0.3663006253,0.3378538641,0.3937376425,0.365,0.3792803262,0.539082815,0.5390438811,0.5005801418,0.5793243699,0.7548238957,0.7548375251,0.5005801418,0.5793243699,/data/user/lrosenth/legacy/final_run/hip57050/hip57050_pchains.csv
169,316,37124,K,1.0,0.649139181,0.6503255047,0.6347183836,0.6664575862,0.5253152477,0.5253327373,0.5221566107,0.5284696286,154.2608783,154.2599343,154.23028380000005,154.2902742,2454920.219,2454920.13,2454919.102,2454921.099,2.59252404,-0.4953918493,-0.8671519697,-0.048659507860000006,28.28351571,28.33872469,27.74521878,28.95460685,0.05074042325,0.050382163560000005,0.02872550988,0.06946913472999999,0.055,0.05967712146000001,3.089022368,3.089596086,2.934375218,3.250979529,0.4878701522,0.4878475021,2.934375218,3.250979529,/data/user/lrosenth/legacy/final_run/37124/37124_pchains.csv
170,317,37124,K,2.0,0.5721393867,0.6473076983,0.557276151,0.7271290438,1.68738057,1.68694899,1.676282742,1.697493028,888.06623,887.6802021,885.2686596000002,890.1554972000001,2454932.405,2454936.881,2454924.785,2454949.503,0.5765089258,0.6337847290999999,0.2394733275,0.9703946334,14.06753932,15.86023025,13.7056333,17.769907800000006,0.1578201803,0.1256109787,0.08011966743,0.1726963307,0.12,0.1475690045,0.2993884063,0.2995750384,0.2845410391,0.315318353,0.8743811119,0.8742448975,0.2845410391,0.315318353,/data/user/lrosenth/legacy/final_run/37124/37124_pchains.csv
173,322,183263,K,1.0,3.704948301,3.704389401,3.60531995,3.802954548,1.507864184,1.5076841230000002,1.487719329,1.527188134,625.0872202,625.0940306,624.9754621000002,625.2135308,2456924.664,2456925.202,2456923.661,2456926.778,-2.218227747,0.9183818158,0.9051467637,0.9313356422,85.6546238,85.68224245,85.25211534,86.10082455,0.3782729108,0.3786392295,0.3746475914,0.3826492602,0.375,0.3805699744,0.7868900095999999,0.7865754804,0.7205814367,0.8575032231999999,0.6867220688,0.6867907087,0.7205814367,0.8575032231999999,/data/user/lrosenth/legacy/final_run/183263/183263_pchains.csv
174,323,183263,K,2.0,7.961929587,7.964036582999999,7.743848732000001,8.183670682,6.0378130070000005,6.037081518,5.953755375,6.1196559310000005,5008.604847,5009.711119,4977.621838,5040.424026,2457195.1040000003,2457195.656,2457186.842,2457204.205,-1.161304155,-1.164793528,-1.273326396,-1.060836074,85.29977255,85.34318605,84.73180765,85.96892852,0.058800682589999986,0.0594581772,0.05320168335,0.06581430495,0.055,0.06246694644,0.04907713089,0.04905741286,0.04490651381,0.053500038830000006,1.374167651,1.374305713,0.04490651381,0.053500038830000006,/data/user/lrosenth/legacy/final_run/183263/183263_pchains.csv
175,324,gl876,K,1.0,2.115898236,2.114974084,2.078736625,2.150410105,0.2177203733,0.2177325772,0.2158768129,0.2195184772,61.03470014,61.03473722,61.03389493,61.03554216,2453055.986,2453055.984,2453055.937,2453056.022,1.167076623,-0.1245806448,-1.079185039,1.036214266,212.0769767,211.9724684,211.3754753,212.5305742,0.0005913183986,0.0019712014800000004,0.0005897968295,0.003920313964,0.0,0.0028361374100000004,0.300039555,0.2998130919,0.278237412,0.323200987,0.8739063278,0.8740713068000001,0.278237412,0.323200987,/data/user/lrosenth/legacy/final_run/gl876/gl876_pchains.csv
176,325,gl876,K,2.0,0.6977745042,0.6981448347,0.6853697069,0.7103813314,0.1362898203,0.1362976448,0.1351361524,0.13741627480000002,30.22896921,30.22901589,30.22847047,30.22953244,2453029.307,2453029.298,2453029.241,2453029.347,-1.458247546,-0.4301260667,-1.226845411,1.136864506,88.40042706,88.43518084,87.86153123,88.98193367,0.01023965735,0.006900647508000001,0.001864934079,0.013211896640000002,0.0,0.009766651211,0.7656844291,0.7650965984,0.7100462052,0.8247694874,0.6914281522,0.6915609215999999,0.7100462052,0.8247694874,/data/user/lrosenth/legacy/final_run/gl876/gl876_pchains.csv
